,Storm identification number,storm name,monthdaytime,year,latitude (deg N),longitude (deg W),maximum wind speed (kt),minimum central pressure (hPa),radius of maximum wind speed (nm),eye diameter (nm),pressure of the outer closed isobar (hPa),radius of the outer closed isobar (nm),radii (nm) of 34 kt wind to the NE,radii (nm) of 34 kt wind to the SE,radii (nm) of 34 kt wind to the SW,radii (nm) of 34 kt wind to the NW,radii (nm) of 50 kt wind to the NE,radii (nm) of 50 kt wind to the SE,radii (nm) of 50 kt wind to the SW,radii (nm) of 50 kt wind to the NW,radii (nm) of 64 kt wind to the NE,radii (nm) of 64 kt wind to the SE,radii (nm) of 64 kt wind to the SW,radii (nm) of 64 kt wind to the NW,storm type code,distance to the nearest major landmass (km)
0,AL0188 ,ALBERTO   ,80518,1988,32.0,77.5,20,1015,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,218.0
1,AL0188 ,ALBERTO   ,80600,1988,32.8,76.2,20,1014,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,213.0
2,AL0188 ,ALBERTO   ,80606,1988,34.0,75.2,20,1013,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,149.0
3,AL0188 ,ALBERTO   ,80612,1988,35.2,74.6,25,1012,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,126.0
4,AL0188 ,ALBERTO   ,80618,1988,37.0,73.5,25,1011,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,197.0
5,AL0188 ,ALBERTO   ,80700,1988,38.7,72.4,25,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,193.0
6,AL0188 ,ALBERTO   ,80706,1988,40.0,70.8,30,1006,,,1012.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,150.0
7,AL0188 ,ALBERTO   ,80712,1988,41.5,69.0,35,1002,,,1012.0,60.0,100.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,118.0
8,AL0188 ,ALBERTO   ,80718,1988,43.0,67.5,35,1002,,,1008.0,50.0,100.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,144.0
9,AL0188 ,ALBERTO   ,80800,1988,45.0,65.5,35,1004,,,1008.0,50.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,22.0
10,AL0188 ,ALBERTO   ,80806,1988,47.0,63.0,35,1006,,,1008.0,50.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,64.0
11,AL0188 ,ALBERTO   ,80812,1988,49.0,60.0,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,105.0
12,AL0188 ,ALBERTO   ,80818,1988,51.0,56.0,25,1010,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,-5.0
13,AL0288 ,BERYL     ,80800,1988,30.4,90.3,25,1010,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-15.0
14,AL0288 ,BERYL     ,80806,1988,29.7,89.7,30,1009,,,1012.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-6.0
15,AL0288 ,BERYL     ,80812,1988,29.7,89.4,35,1007,,,1012.0,90.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,18.0
16,AL0288 ,BERYL     ,80818,1988,29.4,89.2,40,1005,,,1012.0,170.0,50.0,50.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,9.0
17,AL0288 ,BERYL     ,80900,1988,29.3,89.1,45,1002,,,1008.0,80.0,50.0,100.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,10.0
18,AL0288 ,BERYL     ,80906,1988,29.6,89.5,45,1001,,,1008.0,120.0,50.0,75.0,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,11.0
19,AL0288 ,BERYL     ,80912,1988,30.1,90.4,45,1002,,,,,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,0.0
20,AL0288 ,BERYL     ,80918,1988,30.1,90.9,40,1005,,,1012.0,190.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-48.0
21,AL0288 ,BERYL     ,81000,1988,30.3,91.6,30,1006,,,1008.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-63.0
22,AL0288 ,BERYL     ,81006,1988,30.7,92.2,30,1007,,,1008.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-104.0
23,AL0288 ,BERYL     ,81012,1988,31.2,92.6,25,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-166.0
24,AL0288 ,BERYL     ,81018,1988,31.7,93.2,20,1011,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-211.0
25,AL0388 ,CHRIS     ,82112,1988,14.9,43.3,25,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1493.0
26,AL0388 ,CHRIS     ,82118,1988,14.6,45.7,25,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1304.0
27,AL0388 ,CHRIS     ,82200,1988,14.6,47.8,25,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1184.0
28,AL0388 ,CHRIS     ,82206,1988,14.7,49.9,25,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1096.0
29,AL0388 ,CHRIS     ,82212,1988,14.8,51.9,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1037.0
30,AL0388 ,CHRIS     ,82218,1988,15.1,54.0,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,896.0
31,AL0388 ,CHRIS     ,82300,1988,15.3,55.7,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,761.0
32,AL0388 ,CHRIS     ,82306,1988,15.6,57.5,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,654.0
33,AL0388 ,CHRIS     ,82312,1988,16.0,59.2,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,610.0
34,AL0388 ,CHRIS     ,82318,1988,16.3,61.0,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,546.0
35,AL0388 ,CHRIS     ,82400,1988,16.7,62.4,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,392.0
36,AL0388 ,CHRIS     ,82406,1988,16.9,63.8,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,253.0
37,AL0388 ,CHRIS     ,82412,1988,17.2,65.2,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,116.0
38,AL0388 ,CHRIS     ,82418,1988,17.5,66.7,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,46.0
39,AL0388 ,CHRIS     ,82500,1988,17.8,67.8,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,67.0
40,AL0388 ,CHRIS     ,82506,1988,18.2,68.8,30,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,0.0
41,AL0388 ,CHRIS     ,82512,1988,18.5,69.8,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-17.0
42,AL0388 ,CHRIS     ,82518,1988,19.1,70.9,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-76.0
43,AL0388 ,CHRIS     ,82600,1988,19.8,72.1,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,7.0
44,AL0388 ,CHRIS     ,82606,1988,20.5,73.2,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,67.0
45,AL0388 ,CHRIS     ,82612,1988,21.5,74.2,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,118.0
46,AL0388 ,CHRIS     ,82618,1988,22.5,75.4,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,167.0
47,AL0388 ,CHRIS     ,82700,1988,23.3,76.2,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,216.0
48,AL0388 ,CHRIS     ,82706,1988,24.1,77.2,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,239.0
49,AL0388 ,CHRIS     ,82712,1988,24.9,78.1,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,233.0
50,AL0388 ,CHRIS     ,82718,1988,25.8,79.0,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,120.0
51,AL0388 ,CHRIS     ,82800,1988,26.8,79.7,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,41.0
